ID,User,UserLocation,TweetText,Sentiment
0,forumpandlr,Contato: contato@pandlr.com,Só foi o Lula voltar que o RBD voltou também 😭 ,0
1,Biakicis,,O STF praticamente fechou o Congresso que se torna cada dia mais irrelevante para os propósitos do Lula. ,0
2,updatecharts,Brasil,"🚨 Em 13 dias, Lula assumirá a presidência do Brasil. ",0
3,FantasmadoComu6,, Kkkkkkkkkkkkkkkkkkkkkkkkk essa Madeleine deve dormir falando Lula e acordar falando PT  Maior portal de fofocas sobre o PT só com ela Madeleine Lacsko.  A maior fã também. 😏 ,0
4,resendeju684,, tá indo buscar suas trouxas e vcs vão pro inferno kkkkk junto com o Lula kkkkk,0
5,steniojafreitas,FORTALEZA-CE,"A tristeza e ausência do Tite, técnico da seleção, com seus jogadores chorando a perda,  de deveu a ele não poder desfilar  carro dos bombeiros ao lado do Lula!! Ele daria tudo por isso. Graças a Deus não foi dessa vez.",0
6,JooVict39224683,,Hoje seria o dia oficial da certificação do Lula que ocorreu no dia 12 então passamos e estamos dentro das 4 linhas que temos que fazer  voltar agora para casa se pediam  todos ficarmos na frente dos quartéis dias e dias finais de semana lotados e nada ,0
7,GutardoJoao,"Fernando de Noronha, Brasil"," ""O Lula é o retrato da corrupção"" ALCKMIN, Geraldo.",0
8,DemocraciaBr_,Brasil,  Lula vai ser perseguido pela imprensa o tempo todo. E vão esquecer do Jair. Apavora-me pensar nisso.,0
9,MabaClarice,," O Papa dizer que Lula é inocente é a mesma coisa que ele dizer que não há centenas de padres envolvidos em pedofilia. Ou seja, zero de credibilidade.",0
10,AenderFacchin,, Vou torcer para o lula ser preso novamente !!!,0
11,fernandakmella,"Curitiba, Brasil",Qual fake news hermano?  Lula é Ladrão!  Papa comunista!  Isso é fato! ,0
12,serzrdello,,Faz o L! Lula não precisa do congresso nem do senado! Ele tem o STF ! ,0
13,Vitor___12,,  Crime foi o que TSE fez dando privilégios a Lula e bloqueando tudo do Bolsonaro,0
14,AntifaCruzeiro,Belo Horizonte,   Bolsonaro abraça milicianos então se você perdoa um você pode perdoar outro Lula é uma pessoa Sérgio Cabral é outra,0
15,Roderick_Cvlcnt,🇧🇷," As duas vagas desse mandato sendo ocupadas pelo cabeça de caixa d'água ""CAC e 100% alinhado"" que votou pra absolver o Lula e pelo ""terrivelmente evangélico"" e os caras achando que Bolsonaro iria botar mais gente boa nas 2 vagas que vai abrir nos próximos 4 anos.  Kkkkkkkkkkkkkkk",0
16,VitorSaydelles,PORTO ALEGRE-Rio Grande do Sul,Para entender o momento com este texto de ⁦ Ler não dói.👇🏼👇🏼  A estética de Huxley e os tapetes de Lula: Gestão e Política num país destruído | Rede Estação Democracia - RED ,0
17,Sousa97Jussara,," E os processos do Lula e seus companheiros, vão ficar por isso mesmo?",0
18,marioslater2,," Melhor mesmo é ver o Alberto Fernandez, presidente da Argentina e um dos principais representantes da esquerda na América do Sul, vencendo também no futebol. E ainda é amigo do Lula, assim como o Macron. Tá difícil p o gado, né? Deveriam nem comentar. 🤣🤣🤣🤣🤡🤷🏾‍♂️",0
19,mortadelinha13,Brasil,Agora faltam 13. Que emoção!!! Vamos ver nosso Lula subir a rampa pela 3a vez! Somos TRI na Presidência também!!! ,0
20,LuaMonteiro18,," agora é culpa do lula por gente mal caráter. a da licença amigo.. no governo 22, não tinha isso né? esqueci 🤦‍♀️",0
21,Maxwell44946497,,🔴EXCLUSIVO🔴 ELE CAL0U MORAES em BRASÍLIA e EXPÔS P0DRES DE LULA AO VIVO!!? ,0
22,cesarlobo1970,Juazeiro BA ," Ele tá querendo ir pra chave tbm, um velho cagão, tão mentiroso e frouxo como o patrão, que deixa esse bando de otário esperando em porta de quartel enquanto delira e treme de medo da tranca dentro do Alvorada. Faltam 12 dias, babaca, pro LULA subir e dar cambalhotas na rampa.",0
23,MarizeOrnellas,"Rio de Janeiro, Brasil"," Lula, cade o Ministério da Tebet?????",0
24,eduguim,São Paulo - Brasil,Vitória de Lula mantém STF progressista ,0
25,lucilamr,"Atibaia, SP"," Dúvida: se a chapa do Lula/Alckmin vier a ser cassada, essa decisão fica mantida ou é cassada também?",0
26,Tintin_mp4,Franca-SP,Um rapaz que trabalhava nas entrega comigo e ficava defendendo o Bolsonaro/me chamando de Ptista e falando que o lula é ladrão… foi mandado embora pq foi pego fazendo manobra em whisky 🤷🏽‍♂️,0
27,LuisRobertoNas3,"Santa Maria, Brasil"," Tem muito amigo, parente e conhecido que eu achava q conhecia, mas daí se revelaram bozzonarianos adeptos até de práticas nazistas. Lula não é obrigado a conhecer o que todos políticos do Brasil fazem. Bozzo disse q não sabia o que Milton Ribeiro,o pistoleiro dos aeroportos,fazia",0
28,FabianoMarcalS,"Campo Grande, Brasil", Se Lula assumir o poder o rombo pode ser maior. Muito maior.,0
29,Rede98Oficial,Belo Horizonte,A decisão oferece uma saída para o presidente eleito Luiz Inácio Lula da Silva (PT) manter o pagamento de R$ 600 no  Bolsa Família mesmo sem conseguir aprovar a Proposta de Emenda à Constituição (PEC) da transição.,0
30,jaisonricardo,," Logo, STF e TSE terão ainda mais SUPER PODERES. Câmara e Senado se tornarão inúteis. Lula terá a maior FACILIDADE $$$ de sua história para governar. Estão todos sedentos $$$",1
31,emerson111673,,"🚨🚨🚨 LAMENTÁVEL,O STF DE XANDÃO E LULA FECHARAM O CONGRESSO NACIONAL. ",0
32,Rita55833445,"Minas Gerais, Brasil",   Está demorando uma eternidade.Poderiam antecipar a posse de Lula e encerrar 2022 com chave de ouro.,0
33,Basiliarodri,Brasil - Brasília,"Lula fará visita de cortesia nesta manhã ao Superior Tribunal de Justiça, ele vai se encontrar com a presidente do STJ Maria Thereza de Assis Moura e   outros ministros da corte.",1
34,fmst0cc0,*** B R A S I L *** ˆ.ˆ,   E ai? Gostou de ver o Gilmar Mendes fechando o nosso congresso pro Lula poder arrombar os cofres públicos sem oposição? Com se sente?,0
